,ID,Sex,Bwt,Hwt,Name
0,480953,F,2.5,8.3,Calli
1,978443,F,2.5,10.4,Yemma-Lee
2,413795,F,2.5,8.5,Pyewackett
3,872538,F,2.2,9.2,Okee
4,912009,F,2.2,9.1,Piper Belle
5,338725,F,2.3,8.8,Miss Penny
6,888362,F,2.3,8.7,Ms. Bigglesworth
7,131216,F,2.3,9.8,The Little Prince
8,317099,F,2.3,10.9,Pompomdou
9,852509,F,2.3,12.0,Dominic
10,286426,F,2.9,11.5,Fish Bait
11,577115,F,2.3,10.2,Callaway Johnson
12,931701,F,2.6,9.8,Babbit
13,319275,F,2.3,8.8,Koh-i-Noor
14,697056,F,2.4,9.2,Tapanga
15,250489,F,2.1,7.4,Beaux
16,745920,F,2.6,9.4,Charley Brown
17,289675,F,2.3,7.9,Patecatl
18,495553,F,2.5,7.2,Newie
19,235826,F,1.8,5.9,Don
20,275638,F,2.5,7.8,Sprinkale
21,686467,F,2.6,9.9,Purry
22,946825,F,2.1,8.0,Little Fluffer Bean
23,960549,F,2.6,10.0,Cinder Kitty
24,279203,F,2.0,9.6,Lily
25,456855,F,2.1,8.8,Nadena
26,324658,F,2.7,10.3,Zappy
27,518424,F,2.4,8.5,Little Lord Fauntleroy
28,649899,F,2.5,7.9,Tiruvacakam
29,207749,F,2.1,7.5,Chiya
30,778969,F,2.6,8.7,Doll
31,776262,F,1.9,7.0,Nancy
32,675438,F,2.2,6.6,Ty
33,554375,F,2.1,9.5,Flee
34,228897,F,2.3,7.1,Daaaleeeeeeeeaaaaaaaaaa
35,458154,F,2.2,11.0,Keone
36,268790,F,2.3,6.8,Fierce
37,504575,F,2.7,9.4,Clarence Darrow
38,322678,F,2.5,10.8,Passport
39,632161,F,2.5,10.5,Flexx
40,247383,F,2.2,8.6,Gus
41,315830,F,2.8,9.5,Gorgeous Furboy
42,869618,F,2.2,6.7,Stolen
43,105460,F,2.5,9.8,Dennis M. Furry
44,564256,F,2.7,10.7,Abyss
45,517861,F,2.3,9.0,Jj
46,757291,F,2.0,7.6,S'mores
0,362598,M,2.5,9.0,Kitty Pants
1,272358,M,2.8,12.2,Zada-Butt
2,991463,M,2.5,9.5,Telly
3,343093,M,2.3,9.2,Jamima
4,692836,M,2.4,8.7,Judy
5,842495,M,3.6,14.3,Miss Lucy
6,316560,M,3.6,14.4,Winthrop
7,733202,M,3.1,10.8,Lemon
8,643310,M,2.1,7.0,Miav
9,590074,M,3.7,17.8,Growltiger
10,645545,M,3.1,12.3,Rajah
11,856746,M,2.4,9.2,Tig
12,597987,M,3.1,11.5,Pie
13,735455,M,2.7,9.6,Goobs
14,405385,M,3.9,17.1,O.F.C. (Our First Cat)
15,917544,M,4.3,18.3,Inga
16,878159,M,3.1,8.7,Lyzen
17,706501,M,2.9,12.2,Sugarfoot
18,678899,M,3.2,13.6,Draven
19,569618,M,3.4,13.1,Furry Boy
20,910019,M,2.4,8.2,Bali
21,911868,M,3.3,14.3,Rowdy
22,722656,M,2.2,7.6,Nonsense
23,326509,M,3.2,10.4,Brendan
24,282198,M,3.2,13.3,Bonzo
25,432948,M,2.7,10.2,Freon
26,812235,M,2.2,8.9,Lee
27,163339,M,2.9,11.7,Motor Man
28,114344,M,3.1,11.5,Furica
29,152837,M,2.7,7.3,Sonia
30,621349,M,3.7,16.9,Rhino
31,390934,M,3.4,12.5,Ebby
32,146115,M,2.6,10.3,Patola
33,793215,M,2.0,5.2,The Hog
34,500514,M,2.5,10.7,Renfeild
35,537526,M,2.1,10.9,Lips
36,490243,M,3.4,11.1,Mia
37,836608,M,3.2,13.0,Samba
38,636174,M,3.3,14.2,Gabby Tabby
39,735466,M,3.5,10.7,Strudel
40,481902,M,2.4,9.4,Cozy
41,762708,M,2.9,11.0,Hair Factory
42,715839,M,2.5,8.6,Mouseripper
43,124217,M,2.9,12.1,Lark Hill
44,116820,M,2.1,4.7,Jungle Jim
45,437046,M,3.3,13.3,Dip-sh*t
46,201230,M,3.7,13.4,Harrison Ford
