,ID,Sex,Bwt,Hwt,Name
0,331899,F,2.2,7.7,Pookahontas
1,775651,F,2.3,8.8,Annelee
2,338459,F,2.6,10.2,Obo
3,764833,F,2.4,10.6,Pashu
4,678267,F,2.5,8.7,Breanne
5,755869,F,2.1,10.8,Johnny B. Goode
6,690517,F,2.2,8.1,Kundun
7,756265,F,2.1,9.5,Fatty Lumpkin
8,262547,F,2.4,10.1,Countessa Wilhelmina
9,636973,F,2.5,10.5,Rhone
10,330931,F,2.2,10.1,Dee-Jay
11,492246,F,2.2,6.7,Pilate
12,806441,F,2.0,9.8,Jazel
13,935269,F,2.4,9.6,Dillon
14,994752,F,2.7,9.6,Vivaldi
15,531183,F,2.3,10.1,Fester
16,133228,F,2.6,8.6,Brumas
17,518857,F,2.4,8.5,Sublime
18,109566,F,2.6,7.0,Air Einstein
19,547461,F,2.2,8.1,Bat Cat
20,246748,F,2.1,9.7,Z Man
21,155120,F,2.3,9.7,Tiny
22,485750,F,2.3,8.8,PJ
23,446459,F,2.3,9.5,Alphie
24,750847,F,2.1,8.0,Calyx
25,726908,F,2.5,10.5,Omar Khayyam
26,215087,F,2.2,9.9,Xilonen
27,599889,F,2.2,8.3,Tawnymom
28,601354,F,2.1,8.6,The Flirt
29,383339,F,2.0,8.0,Nuno
30,883194,F,2.1,8.0,Raelin
31,770518,F,2.2,7.7,Cruella
32,438164,F,2.2,8.6,Quiche
33,631083,F,2.5,9.2,Tom Kaley
34,193570,F,2.3,8.5,Oscer
35,494681,F,2.6,9.3,Araine
36,686036,F,2.4,8.5,Zip A Dee Doo Daa
37,520006,F,2.2,10.0,Bumble
38,641238,F,2.2,10.9,Sanborn
39,244000,F,2.4,10.9,Carmen Sandiego
40,388238,F,2.2,9.5,Spacey
41,204928,F,2.0,9.9,Roy
42,347185,F,2.6,9.2,Dina
43,220595,F,2.9,10.4,Booty
44,159274,F,2.0,6.7,Black Onyx
45,116557,F,2.2,10.5,Mino
46,728135,F,2.7,9.5,Mahomet
47,572964,F,2.4,10.0,Soda
48,305961,F,2.3,10.7,McQue
49,728504,F,2.7,8.3,Sativa
50,406816,F,2.6,11.6,Audacity
51,335776,F,2.4,8.9,Kobie
52,590648,F,2.2,9.4,Jai Alai
53,691666,F,2.0,7.6,Rumpelstiltskin
54,786405,F,2.5,8.7,Flicka
55,639884,F,2.3,9.1,Chicken Little
56,598242,F,2.6,9.3,Keiki
57,615325,F,2.4,7.8,Snowstorm
58,197885,F,2.5,10.5,Maddie
59,342787,F,2.0,8.3,Brainiac
60,158695,F,2.1,7.1,Bernie
61,227725,F,2.4,10.4,Omiros
62,750741,F,2.5,9.5,Miav
63,711701,F,2.2,7.2,Opaline
64,335672,F,2.5,11.9,Drusilla
65,749917,F,2.6,8.3,Aureole
66,699097,F,2.2,8.4,Inky
67,193792,F,2.4,9.6,Kryinshame
68,588988,F,2.5,8.6,Master Sebastian The Bastu Of Fu Manchu
69,679612,F,2.0,7.5,Lane
70,317247,F,2.5,11.0,Gemmie Wemmie
71,470063,F,2.1,8.9,Bonnie
72,369458,F,2.7,10.0,Beeper
73,983994,F,2.7,8.1,Gilbert
74,874732,F,2.1,7.4,Mr. Tubbsaflubbs
75,921277,F,2.4,9.0,Aramer
76,538179,F,2.4,8.6,Witchy-poo
77,761023,F,2.7,10.1,Miss Pittypat
78,540068,F,2.8,10.0,Ira
79,522712,F,2.4,9.6,Piepje
80,663878,F,2.8,10.2,Allan
81,221003,F,2.0,7.4,Ephelia
82,455402,F,2.1,8.4,Charley
83,130133,F,2.7,10.0,Greyson
84,551019,F,2.4,10.8,No Kiss
85,418170,F,2.3,10.3,Kate
86,794080,F,2.7,9.3,Mele
87,454498,F,2.0,7.8,Studmuffin
88,489013,F,2.5,9.1,RG Max
89,306373,F,2.1,10.2,Ab
90,973143,F,2.1,8.5,Garf
91,910111,F,2.4,10.1,Bartleby
92,409676,F,2.3,8.8,Mouseman
93,867401,F,2.5,10.2,Kimmy
94,466726,F,2.4,8.4,Brrrdie
95,535400,F,2.5,7.5,Takeya
96,905607,F,2.8,10.3,Ghengis Khan
97,741106,F,2.2,8.7,Neapolis
98,547022,F,2.4,8.3,Fiji
99,584553,F,2.3,8.0,Twotone
100,367227,F,2.3,10.2,Henley
101,409751,F,2.4,9.4,Roland
102,865583,F,2.5,10.0,The Crisco Kid
103,577671,F,2.3,8.7,Ymilie
104,373145,F,2.5,9.1,Bilbo
105,133666,F,2.7,10.8,Jack Frosted
106,860120,F,2.2,10.1,Jughead
107,951445,F,2.3,11.6,Nitro Glitter
108,117867,F,2.4,10.1,Bud
109,363529,F,2.1,7.4,Matilda
110,955381,F,2.3,8.4,Sped
111,434278,F,2.0,8.9,Beth Anne
112,508978,F,2.8,11.3,Chicken Little
113,190171,F,2.5,8.9,Grand
114,688245,F,2.7,10.1,Athinai
115,276561,F,2.3,8.8,Machete
116,346043,F,2.2,8.3,Xmas
117,838739,F,2.4,8.2,Nigel
118,347956,F,2.6,10.6,Langston
119,780978,F,2.7,8.4,Tokayla
120,586343,F,2.5,9.5,Tabakitty
121,632905,F,2.3,9.9,Mr. Neo
122,142826,F,2.8,9.3,Lucidor
123,379541,F,2.3,8.6,Johnny
124,931088,F,2.5,10.6,Bud-wiser
125,557576,F,3.0,9.8,Fur Princess
126,100622,F,2.5,7.5,Tuxt
127,945232,F,2.4,8.8,Marat
128,684816,F,2.6,9.9,Bridge O Rama
129,313534,F,2.2,8.4,Achilles
130,858643,F,2.4,6.6,Athene
131,144395,F,2.3,11.1,Loverboy
132,637336,F,2.5,8.7,Lulie Julie
133,228718,F,2.4,10.0,Owas-sa
134,507420,F,2.3,9.3,Neutron
135,616360,F,2.8,9.5,Chublybumkins
136,703763,F,2.5,8.2,Fidelio
137,262159,F,2.4,11.0,Dopey-Dum dum
