,ID,Sex,Bwt,Hwt,Name
0,767399,F,2.7,11.5,Yenta
1,906787,F,2.0,7.5,Adobe
2,310466,F,2.2,10.4,Cadbury
3,292931,F,1.9,6.8,Biddy
4,171070,F,1.9,7.1,Wrigley
5,583533,F,2.3,8.5,Marieka
6,725742,F,1.9,7.0,Trosky
7,357674,F,2.5,9.0,Genji
8,510440,F,2.5,9.6,Booger Nose
9,565985,F,2.4,9.8,Bali
10,729132,F,2.5,11.2,Midnight Smedley
11,472894,F,2.3,10.1,Little Mo
12,773129,F,2.5,9.5,Poosey Boy
13,930311,F,2.6,8.8,Chubserelli
14,429246,F,2.2,10.1,Keetah
15,983381,F,2.8,8.3,Raintree
16,959313,F,2.3,7.3,Misquita
17,615273,F,2.2,11.1,Shadrach
18,857194,F,2.2,9.0,Pace
19,497203,F,2.4,9.2,Papyrus
20,813557,F,2.8,10.9,Arizona
21,238425,F,2.3,7.7,Katya
22,619722,F,2.4,7.9,Furry Boy
23,571635,F,2.2,8.9,Doolittle
24,733551,F,2.7,13.1,Tidus
25,589787,F,2.8,11.1,Thusnelda
26,278110,F,2.3,9.8,Kid E. Kat
27,707475,F,2.2,6.8,Alfred
28,832804,F,2.3,9.8,Athalia
29,140513,F,2.5,10.9,Kudos
30,701477,F,2.2,7.2,Riel
31,792092,F,2.6,10.0,Minue
32,593686,F,2.3,9.4,Plymouth
33,261147,F,2.5,11.5,Biff
34,911628,F,2.3,10.6,Piddle
35,516029,F,2.6,9.5,Milea
36,222155,F,2.6,10.6,Chiclet
37,245250,F,2.2,9.6,Shegwah
38,762726,F,2.2,7.6,Cargo
39,987428,F,2.4,9.8,Seanna Goddess of Water
40,533528,F,2.7,10.4,Bitch
41,834754,F,2.4,8.6,Smiley
42,139406,F,2.3,7.6,Boaz
43,435269,F,2.7,7.0,Xylophone
44,706072,F,2.5,8.3,Angel Eyes
45,767348,F,2.8,10.4,Serafim
46,178657,F,2.4,7.9,Super French
47,459850,F,2.4,9.6,"D.B.C. (""Da Brat Cat"")"
48,227944,F,2.7,9.6,Midget
49,730801,F,1.9,7.9,Gretchec
50,249625,F,2.6,8.2,Base
51,233468,F,2.3,10.5,Frangelico
52,698974,F,2.3,7.1,Lamourghini
53,605465,F,2.7,8.7,Tsa-Tsa
54,291333,F,2.5,8.1,Miz Lucy
55,683061,F,2.2,7.2,Willy G
56,757610,F,2.5,10.9,La Llarona
57,668073,F,2.6,8.6,Vasilissa
58,328770,F,2.2,9.0,Abby-normal
59,575045,F,2.5,8.3,Fezzik
60,535897,F,2.1,7.2,T-Cat
61,484209,F,2.1,8.6,Deacon
62,720960,F,2.6,9.7,Goofy
63,464903,F,2.2,10.1,Hubba Bubba
64,513846,F,2.7,9.5,Nystan
65,364879,F,2.1,9.4,Elephi
66,788584,F,2.4,6.9,Esmerelda
67,619417,F,2.0,8.3,Maelstrom
68,524941,F,2.5,8.1,Purple
69,290441,F,2.8,10.2,Zeitgeist
70,262883,F,2.6,9.6,Thor-Wegian
71,590928,F,2.8,12.1,El Cid Cid!
72,664072,F,1.8,7.7,Smeghammer
73,466323,F,2.4,10.4,Hecubbus Hellcat
74,866691,F,2.7,10.1,Wimbleton
75,480714,F,2.3,9.2,Salom
76,323297,F,2.3,7.8,Ghiz
77,673007,F,2.3,8.5,Speagle
78,877191,F,2.6,9.2,Nestles Chocolate Bit
79,100391,F,2.4,10.8,Calloway
80,175350,F,2.1,9.3,Reilly
81,607949,F,2.5,9.7,Irma
82,408310,F,2.7,11.0,Tacky
83,468213,F,2.9,10.3,No Kiss
84,925073,F,2.8,12.5,Beret
85,318539,F,1.8,8.1,Obo
86,853671,F,2.4,9.7,Nestor
87,829989,F,2.9,10.9,Josephina
88,879744,F,2.1,8.2,Spazmo
89,780639,F,2.4,10.1,Fishbone
90,959487,F,2.6,10.3,Inky Poo
91,803913,F,2.0,8.5,Augger-Dogger
92,397124,F,2.5,10.4,Little Butt
93,287970,F,2.6,11.4,Fat Bastard
94,212868,F,2.3,7.2,Big Boo
95,534175,F,2.0,8.3,Dasha
96,864254,F,2.4,9.0,Kelli
97,533188,F,2.0,7.2,Del
98,355936,F,2.5,7.9,Paddy Paws
99,433741,F,2.7,10.8,Paraffin
0,436892,M,3.0,12.1,Moe Moe
1,815563,M,3.9,14.3,Elbee
2,989287,M,2.7,11.9,Falkor
3,995457,M,2.8,12.2,Gamina
4,524344,M,2.9,11.4,Jaspurr
5,934571,M,2.7,13.2,Jo'Briel
6,639332,M,2.6,10.3,Huno
7,782648,M,3.3,13.4,Reka Mao
8,772387,M,3.1,12.7,Tobie
9,692962,M,3.0,11.5,Mighty Thor
10,525079,M,2.9,11.2,Jelly Bean
11,955713,M,3.0,14.1,Mosa
12,551645,M,2.8,11.9,Peyton
13,301603,M,1.5,6.2,Wickedness
14,468470,M,3.2,11.5,Doezel
15,391350,M,3.2,13.0,Princess Leia
16,180969,M,2.7,12.4,Phurpy
17,922775,M,2.9,11.9,Theodopholous
18,283417,M,3.3,12.0,Clem Bob
19,978150,M,4.0,15.0,Tick Tock
20,819073,M,3.2,14.2,Snowcat
21,270669,M,3.6,14.8,Bad Luck
22,778212,M,3.1,12.7,Peka
23,458281,M,2.6,12.2,Seargent Tibbs
24,733723,M,2.8,10.1,Fata
25,767717,M,2.8,8.8,Shish
26,225623,M,3.6,13.6,Scruffy
27,885708,M,2.7,10.7,Chewbacca
28,331851,M,3.0,10.4,Neco
29,805438,M,2.7,11.1,Pica-Paca
30,378827,M,2.7,11.4,Vi
31,291564,M,2.6,8.0,Shut Up
32,625255,M,2.5,9.2,Sugarbabe
33,802248,M,3.1,13.8,Nacho
34,145961,M,3.5,14.2,Granger
35,786139,M,2.7,8.3,Thomas The Tank Engine
36,398758,M,2.6,7.1,River Bean
37,867813,M,3.0,14.4,Callie-Co
38,310206,M,3.0,11.4,Squit
39,102179,M,3.1,13.9,Frau
40,516751,M,3.3,13.5,Louis
41,866094,M,2.7,12.3,Dolf
42,698164,M,3.1,14.2,Thistle-A
43,519827,M,4.0,15.1,Feifel
44,669595,M,2.9,10.2,Roxanne
45,166047,M,3.1,12.6,O-Ren Ishii
46,745254,M,3.0,12.2,Murphy Brown
47,506678,M,2.7,11.4,Tigerlily
48,158315,M,3.1,11.2,Moonlight
49,841814,M,3.2,13.0,Griffy
50,279448,M,2.9,9.4,Teaser
51,193832,M,3.1,11.8,Tom Cat
52,809139,M,2.5,8.4,Chuppy
53,398595,M,3.4,12.9,Schizo
54,726929,M,2.6,9.0,Heavenly Daze
55,345972,M,3.0,12.8,Mom-Cat
56,397671,M,3.0,11.7,Howler
57,606091,M,3.1,13.0,Birthday
58,375829,M,2.9,12.1,Roald Berntsen
59,383251,M,3.6,14.6,Seamus
60,380942,M,2.8,11.4,Buckminster
61,526745,M,3.5,16.3,Jimi Hendrix
62,671500,M,2.8,11.3,Lujak
63,673429,M,2.5,8.7,Mico
