,ID,Sex,Bwt,Hwt,Name
0,129565,F,2.2,7.7,Marika
1,971197,F,2.3,8.8,Azour Mavreen
2,746812,F,2.6,10.2,Monther
3,844637,F,2.4,10.6,Beer
4,820451,F,2.5,8.7,Fata
5,415630,F,2.1,10.8,Humphrey
6,554155,F,2.2,8.1,Fuzzmeist
7,100975,F,2.1,9.5,Goodyear
8,578145,F,2.4,10.1,Snooky Wooky
9,489040,F,2.5,10.5,Six
10,415953,F,2.2,10.1,Mr. Magoo.
11,681705,F,2.2,6.7,Honey
12,579568,F,2.0,9.8,Lime
13,563520,F,2.4,9.6,Molly Lou
14,225613,F,2.7,9.6,Tildy
15,396365,F,2.3,10.1,Purrzie
16,358732,F,2.6,8.6,Tinker Tay
17,811474,F,2.4,8.5,Bunifa
18,708188,F,2.6,7.0,Bruce
19,813895,F,2.2,8.1,Cosette
20,267467,F,2.1,9.7,Sir Prance Alot
21,674274,F,2.3,9.7,Miss Modest
22,325938,F,2.3,8.8,Keeva
23,927809,F,2.3,9.5,Pele
24,654807,F,2.1,8.0,Zork
25,316937,F,2.5,10.5,Bomart
26,637437,F,2.2,9.9,Isabelle.
27,697313,F,2.2,8.3,Mafalda
28,699456,F,2.1,8.6,Scatter
29,209553,F,2.0,8.0,Tabitha Tick
30,839753,F,2.1,8.0,Surplus
31,368946,F,2.2,7.7,Steverspoo
32,958676,F,2.2,8.6,Catrat
33,898814,F,2.5,9.2,Porky Pine
34,178990,F,2.3,8.5,Muskustrap
35,383138,F,2.6,9.3,Maestoso
36,649798,F,2.4,8.5,Nocturne
37,551963,F,2.2,10.0,Lovecake
38,879028,F,2.2,10.9,Zuba
39,792632,F,2.4,10.9,Cariboo
40,839883,F,2.2,9.5,Snorkler
41,695276,F,2.0,9.9,Mag
42,170658,F,2.6,9.2,Mama
43,203979,F,2.9,10.4,Pooch
44,332592,F,2.0,6.7,Sorceror
45,303361,F,2.2,10.5,Sumatra
46,233718,F,2.7,9.5,Fancy Feast
0,862701,M,2.7,9.9,Cattie
1,972160,M,2.8,8.5,Oh Oh
2,171844,M,2.6,13.1,Little One
3,197523,M,3.5,12.7,Rontu
4,333628,M,2.3,6.9,Mitsy
5,879086,M,2.9,11.8,Soluna
6,975947,M,3.0,10.9,Ginni
7,924539,M,3.8,13.0,Pangur
8,305863,M,3.5,14.4,Mazel Tov
9,606612,M,4.0,15.2,Casey
10,382589,M,2.7,12.3,MacGyver
11,829724,M,3.9,15.0,Shades of Grey
12,611254,M,3.0,11.5,Toffy
13,266147,M,2.6,11.1,Haj
14,945394,M,3.7,14.4,Porky Pine
15,223649,M,3.0,14.0,Caisan
16,292393,M,2.5,8.8,Grumbleduke
17,814244,M,3.4,13.0,Cat-lete
18,944953,M,3.5,15.2,Ankelfraeseren
19,159588,M,2.7,9.0,K Cat
20,546621,M,2.7,10.8,Lima
21,468547,M,3.4,15.0,Red
22,192100,M,2.3,6.2,Pheonix
23,858840,M,2.7,13.1,Punken
24,147659,M,3.2,12.8,Aidan
25,607305,M,2.8,10.5,Tutti Fruitti
26,420617,M,2.8,12.4,Shani
27,114793,M,3.5,14.4,Foley
28,155113,M,2.4,7.9,Toastie
29,597769,M,2.0,10.6,Kitty Boo
30,382325,M,3.2,11.9,Princess Gobnit
31,156324,M,2.3,9.8,Henrick
32,535703,M,2.7,13.3,Kolabara
33,276093,M,3.5,14.8,Gumdrop
34,872744,M,2.9,11.6,Ulla
35,323404,M,4.0,16.6,Little Lord Fauntleroy
36,575105,M,3.0,12.5,Piepje
37,863516,M,2.3,9.6,Pepin the Red
38,542869,M,2.2,9.8,Psyco-pants
39,141849,M,2.8,10.5,Princess Puddypat
40,946736,M,3.4,11.0,Betsy Rose
41,449614,M,2.2,9.5,Vienna
42,543950,M,3.6,14.8,Bubsy Bobcat
43,772403,M,3.3,12.8,Grazie
44,170559,M,2.4,9.9,Akeem
45,761162,M,3.7,11.2,Charvet
46,629862,M,2.7,8.4,Rin
47,326013,M,2.8,9.3,Lipps
48,153969,M,2.5,11.0,Skattie
49,414544,M,3.5,13.9,Wilfred
50,946195,M,2.8,11.4,Walden
51,839197,M,3.1,9.6,Meer
52,400310,M,3.3,12.7,Khina
53,426975,M,2.7,9.6,Hevea
54,584266,M,3.0,12.0,Gilmore
55,333243,M,2.6,9.5,Tatyana Meru Nikolaievitch
56,140584,M,3.0,12.9,Yessirree
57,835526,M,2.9,14.5,Calamity Roo The Wild Thing From Hell
58,317840,M,2.3,9.2,Serenity
59,807718,M,3.1,12.3,Ysidro
60,945748,M,3.0,13.1,Halc
61,626240,M,3.1,13.7,Veruca Salt
62,120354,M,2.8,9.4,Tashie
63,298458,M,2.8,11.0,Santini
64,536030,M,2.6,9.8,Mogwai
65,533482,M,3.1,12.3,Super French
66,410144,M,2.7,11.5,Grunion
67,436456,M,2.3,8.3,Fat Pig
68,107226,M,2.9,9.6,Quimby
69,974331,M,2.7,6.8,S.F.B. (= Sh*t for Brains)
70,340203,M,2.7,9.7,Pogo
71,287392,M,3.4,14.7,Rip Van Winkle
72,895802,M,3.1,12.8,Joel
73,639669,M,3.4,11.9,Shrapnel
74,407593,M,2.0,7.5,Yellow Cat
75,975527,M,2.7,11.8,Mookie-Pookie
76,324883,M,2.4,9.6,Xmas
77,502304,M,3.0,12.1,Perry
78,403792,M,3.3,13.1,Beth
79,800594,M,3.0,13.2,Sorbet
80,436079,M,2.4,8.6,Crichton
81,735241,M,2.6,12.8,Ready
82,313637,M,2.7,10.8,Farasha
83,459755,M,3.4,11.2,Francis Albert
84,175063,M,2.8,10.0,Furry Boy
85,679970,M,3.4,11.1,Lane
86,140090,M,2.3,11.1,Twitz
87,257875,M,3.1,12.5,Vladir
88,932360,M,2.6,8.8,Shannenay
89,448169,M,2.1,10.1,Rookie
90,186389,M,3.0,14.5,Olliecat
91,425999,M,2.9,12.1,Tristin
92,779918,M,2.5,10.0,Drive Thru
93,907362,M,3.2,12.9,Edora
94,338773,M,3.6,14.1,Uber
95,829413,M,3.2,16.2,Cassanova
96,316558,M,2.7,7.8,F. Lee Bailey
