,ID,Sex,Bwt,Hwt,Name
0,322926,F,2.7,10.0,Squid
1,311727,F,2.2,10.7,Nag
2,940362,F,2.5,8.1,Pavo
3,368255,F,2.5,9.7,Purdy
4,120138,F,2.5,8.2,Cattia
5,619736,F,2.2,8.2,Jazpurr
6,119930,F,2.5,11.2,Chauncy
7,410585,F,2.2,10.2,Mr. Kitty
8,452725,F,2.2,8.6,Greymalkin
9,408363,F,2.2,6.9,Nikochan
10,428867,F,2.1,10.0,Tim-Tam
11,173153,F,2.2,8.3,Haagendaz
12,273841,F,2.1,11.0,Amble
13,445762,F,2.4,8.7,Tozier
15,317600,F,2.2,8.8,Obi
16,715877,F,2.1,8.8,Seairah
17,170075,F,2.5,7.3,Maximilian Liao Klein
18,395049,F,2.5,10.6,Wendel
20,745230,F,2.5,8.6,Stoney
21,668089,F,2.3,10.6,Patches Jr.
22,420273,F,2.7,10.6,Seminole
23,153839,F,2.5,10.8,Maxi
24,386219,F,2.2,10.3,Bramble
25,199837,F,2.8,10.6,Babsy
26,254245,F,2.2,9.1,Maxy
27,455651,F,2.2,7.9,Tiddle Bits
28,145853,F,2.5,8.6,Sancho
29,497425,F,2.1,6.3,Sukhothai
30,757977,F,2.7,12.5,Cole
31,828929,F,2.4,9.4,Pinnar
32,943360,F,2.4,10.1,Sinoe
33,919856,F,2.1,7.5,Marsina
34,753826,F,2.3,7.5,Langston
35,710388,F,2.1,9.8,Kari
36,104621,F,2.7,11.1,Link
37,861014,F,2.5,8.2,Madcap
38,503634,F,2.4,8.2,Lurkmeister
39,286446,F,2.2,8.7,Sir Thomas Lipton
40,238775,F,2.4,11.0,Vance
41,337827,F,2.2,8.5,Marf
42,817833,F,2.4,9.0,Gilbert Grape
43,936963,F,2.3,5.1,Winder
44,437256,F,2.4,10.1,Benkelman
45,764031,F,2.7,10.3,Didgit
46,500956,F,2.6,9.2,Juniper
47,813393,F,2.5,9.0,Roald Berntsen
48,178472,F,2.7,8.3,DipSquat
49,947888,F,2.5,8.8,D.L.H.
50,307176,F,2.6,9.0,Joyce
51,528710,F,2.3,7.4,Milky
52,198457,F,2.5,8.2,Celestial
53,775371,F,2.2,8.0,Christmas Eve Princess Six Toes
54,198301,F,2.1,9.9,Puzzball
56,123245,F,2.7,10.1,Dr. Seuss
57,550300,F,2.6,9.8,Kipling
59,858599,F,2.5,8.5,Puppy
60,449041,F,2.2,8.3,Tsunami
61,764406,F,2.4,9.9,Tearose
64,111263,F,2.2,9.3,Shnapple
65,867214,F,2.0,9.6,Toni
67,496559,F,2.2,9.9,Chec
68,590159,F,2.4,7.5,Mimo
69,788462,F,2.3,9.8,Little Cutie
71,154890,F,2.1,9.1,Gargoyle
72,139180,F,2.3,8.0,Shadowfax
73,692365,F,2.8,12.1,Deimos
74,894877,F,2.4,8.6,Noisy Kitty
75,971531,F,2.4,9.5,Velcro
76,596372,F,2.2,9.4,Puzzball
77,855483,F,2.4,8.4,Thai Ling
78,822944,F,2.1,10.0,Amydala
79,894027,F,2.2,9.5,Grizzy
81,104749,F,2.3,7.9,Sheik Djobouti
82,890013,F,2.5,8.9,Gentile
83,102965,F,2.2,10.0,Sjimmie
84,554748,F,2.1,7.6,Judy Blue-Eyes
85,313453,F,2.2,9.4,Primrose
86,526752,F,2.7,8.9,Chusko
87,651044,F,2.3,10.3,Sinta
88,124207,F,2.5,10.7,Samwise
89,140334,F,3.2,11.6,Tora
90,138745,F,2.4,10.1,Zara
91,343746,F,2.6,9.5,Fuzzmuzz
92,321115,F,2.1,9.0,Contessa
93,993222,F,2.3,9.5,Keddie
94,302928,F,2.5,9.3,Jelly Roll
95,646061,F,2.4,8.7,Arquette
96,992536,F,2.2,5.8,White Spot
97,438847,F,2.6,10.5,Chilawack
98,345319,F,2.9,11.3,Kimmy
99,856345,F,2.3,9.7,Pink-Nosed Curled-Toed Kitty
0,585181,M,3.2,12.3,Gemmie
1,653616,M,2.6,13.1,Marte
2,364677,M,2.9,13.3,Gump
3,286940,M,2.1,9.2,Mr. Winkie
4,148409,M,3.0,11.8,Muffie-Roo
5,514816,M,3.1,14.3,Slash Brown
6,935193,M,3.2,13.6,Puddy-foots
7,915134,M,3.7,13.9,Kolle
8,596678,M,3.1,10.3,Yawgmoth
9,152908,M,2.4,10.4,Ceres
10,958546,M,3.1,12.5,Hessie
11,448511,M,2.8,7.9,Destructo-o-cat
12,915539,M,2.9,11.9,Jipsee
13,574332,M,3.1,12.2,Dreamboat Annie
14,954996,M,2.7,11.2,Baggy
15,124044,M,2.4,9.2,Tonk
16,279171,M,2.6,9.3,Gawain
17,390081,M,3.1,11.2,Fritti
18,139915,M,3.0,12.1,Little John
19,713701,M,2.5,9.5,Aeolus
20,359532,M,2.9,12.2,Me-Too
21,525078,M,3.4,13.2,Fletcher
22,132291,M,2.5,10.1,Mee-Krob
23,992250,M,3.4,13.6,Nestor Le Freep
24,221278,M,3.1,15.0,Crunch [White]
25,892031,M,3.1,14.1,Bill Widders
26,409376,M,2.7,10.7,Poozle
27,924584,M,3.1,11.7,Gismo
28,257388,M,3.1,13.8,Nicedemos
29,554722,M,2.6,10.5,Napoleon
30,269246,M,2.5,8.3,Big Headed Galoot
31,758901,M,2.2,9.2,Mike P. Hoover
32,251187,M,3.6,14.5,Quesa
33,687089,M,2.5,8.3,Joey Poos
34,468863,M,2.4,8.4,Honey Boy
35,709421,M,2.9,11.0,Jennifur
36,161155,M,3.1,9.4,Eris
37,563152,M,3.9,16.2,Zelig
38,939698,M,3.0,11.7,Grafitti
39,420440,M,3.6,16.8,Solstice
40,201020,M,3.1,12.3,Poosha
41,424056,M,3.6,14.6,Pussy Gata
42,633807,M,2.1,6.6,Sallllllllly
