,ID,Sex,Bwt,Hwt,Name
0,238702,F,2.2,9.3,Falstaff
1,926436,F,2.4,8.0,Puddypaws
2,350814,F,2.4,8.4,Pug
3,499025,F,2.4,10.7,Miss Sarah
4,353960,F,2.3,11.3,Tulip
5,166965,F,2.4,12.9,Inspector Kibble
6,778390,F,2.0,7.3,Sockie Boy
7,388769,F,2.4,10.6,Palomino
8,908870,F,2.2,6.7,Prrzetz
9,215331,F,2.2,7.8,Fopulgorus
10,221743,F,2.4,10.9,Selby
11,385464,F,2.6,11.0,Cookie Monster
12,949758,F,2.3,7.6,Little Liz
13,983329,F,2.3,9.7,Yuri
14,536360,F,2.5,9.2,Loueysmith
15,838436,F,2.8,11.4,Ahau Chamahez
16,873681,F,2.4,9.1,Bubi
17,608773,F,2.3,9.4,Beez Louise
18,425023,F,2.6,10.1,Scylla
19,998396,F,2.1,10.6,Jazzie
20,243609,F,2.5,9.9,Vladimir the Impaler Fearless Mau
21,694220,F,2.2,9.6,Tawnymom
22,950191,F,2.3,8.0,Baby Butterscotch
23,414114,F,3.0,9.2,X-Quisit
24,411432,F,2.3,9.0,Nanny
25,832363,F,2.4,9.0,Max
26,213957,F,2.1,8.5,Laughing Cow
27,108529,F,2.4,6.4,Aimee
28,664110,F,2.1,8.9,Cafu
29,926740,F,2.7,7.8,Koh-i-Noor
30,707746,F,2.0,8.5,Honey-Lamb
31,404803,F,2.6,9.3,Randi
32,332366,F,2.3,9.5,Lickerish
33,155400,F,2.3,7.8,Maitos
34,175299,F,2.4,11.9,P. Cat
35,361768,F,2.7,8.4,Chevalier
36,204042,F,2.7,10.5,Purvis
37,142835,F,2.5,9.2,Sam-Girl
38,267153,F,2.4,9.2,Ackerly
39,593354,F,2.0,6.9,Captain D
40,934396,F,1.9,9.0,Picky Picky
41,607462,F,2.2,9.5,Sinclair
42,356316,F,2.5,10.7,Jonathan
43,888570,F,2.3,9.0,Pilgrim
44,249934,F,2.5,8.0,Pooders
45,614408,F,2.2,8.1,Tobasco
46,259855,F,2.0,8.9,Little Wing
47,997840,F,2.5,8.1,T.K.
48,409682,F,2.7,10.4,Tangent
49,208926,F,2.7,10.5,Sox/Soxy
50,545815,F,2.2,9.5,Roxanna
51,728521,F,2.2,8.6,Kimmy Kimmy
52,810104,F,2.4,9.8,Hulk
53,722380,F,2.5,9.1,Merlin
54,314960,F,2.5,7.4,Ayla
55,164283,F,2.1,9.0,Chaser
56,595364,F,2.5,8.2,Kroag
57,701149,F,3.0,12.7,Purr-o-matic
58,975000,F,2.0,6.6,Ghengis Khat
59,248013,F,2.7,9.5,Olaf
60,215275,F,2.4,9.4,Tyler
61,941489,F,2.6,10.0,Diddy
62,353663,F,2.1,8.3,Pious
63,752359,F,2.3,11.4,Jabberwocky
64,771018,F,2.2,8.5,Montezuma
65,289349,F,2.7,9.8,La Llarona
66,875988,F,2.3,11.2,Apri
67,605412,F,2.1,8.3,Ranger
68,870405,F,2.6,8.6,Miso
69,147660,F,2.4,12.4,Mistique
70,312486,F,2.1,7.2,B.A. Barrakus
71,305810,F,2.5,10.8,Stimpy
72,714649,F,2.3,10.2,Penny No!
73,193540,F,2.3,9.3,Booties
74,795619,F,2.2,8.5,Tags
75,853389,F,2.0,9.4,Okra
76,543667,F,2.8,9.5,Sir Ding Bat of Ashburn
77,222458,F,2.0,6.9,Smoochie
78,640371,F,2.3,8.1,Dancing Girl
79,583547,F,2.3,6.4,Pooh of Pooh Corner
80,557865,F,2.2,6.4,Scuba
81,747017,F,2.3,8.6,Gageta
82,459814,F,2.8,9.9,Boykitty
83,675654,F,2.2,8.7,Crissy Cat
84,424736,F,2.6,9.2,Oprah Anne
85,446954,F,2.2,8.5,Farnsworth
86,981195,F,2.2,6.5,Ziploc
87,904494,F,2.2,8.1,Tigerboy
88,756828,F,2.3,9.6,Stimpy
89,997521,F,2.6,8.4,Leash
90,543558,F,2.6,10.5,Taniika
91,105530,F,2.8,9.1,Tootle
92,819451,F,2.8,10.9,Bitsy Pookums
93,696361,F,2.0,9.4,Boiler
94,889117,F,2.5,8.6,Littlefoot
95,711245,F,3.0,9.4,Rockford
96,591353,F,2.1,10.6,O.J. Simpson
97,271152,F,1.9,9.7,Shaggy
98,349983,F,2.3,8.2,Splinter
99,640895,F,2.2,7.6,Tiberius
100,339710,F,1.7,5.9,Pintas
101,814670,F,1.9,8.7,Edward Scissor Paws
102,217205,F,1.8,8.3,Sausage
103,620905,F,2.3,8.8,Artie
104,494358,F,2.3,9.0,Fortuna
105,356910,F,1.8,7.4,Henry Jones
106,464026,F,2.2,9.2,Miss Abigail Buttonwood
107,214201,F,2.3,8.2,Leechee
108,470998,F,2.7,9.4,Eightball
109,775976,F,2.9,10.9,Huey
110,159451,F,2.2,9.7,Cornell
111,151423,F,2.4,8.9,Muu-Muu
112,420698,F,2.6,11.3,Ting A Ling
113,224100,F,2.5,8.1,Bright
114,336809,F,2.5,10.7,Henry Andres Midnight Moses
115,719930,F,2.1,10.8,Heather
116,762893,F,2.2,8.9,Ross
117,297989,F,2.7,8.3,Prissy Sissy With The Sassy Tail
118,146373,F,2.0,6.6,Grizzle
119,765944,F,2.1,8.4,Sailor
120,823616,F,2.3,8.6,Princess Sarah
121,208298,F,2.5,8.6,Norman Tinkle Tinkle
122,933298,F,2.3,9.2,Hunter
123,198208,F,2.7,11.1,Zapeli
124,882072,F,1.9,8.1,Starr
125,645102,F,2.1,6.5,Rodesia
126,102279,F,2.1,7.6,Cattaira
127,483293,F,2.3,4.8,Lalli
128,950345,F,2.5,11.4,Andouille
129,922580,F,2.8,9.9,Fitzgerald
130,478328,F,2.5,9.2,Hillary
131,430733,F,2.3,6.9,Tuff Stuff
132,184314,F,2.3,9.0,Daja
133,597028,F,2.8,10.2,Cattspurr
134,214516,F,2.3,8.4,Beetle E. Bailey
135,632332,F,2.4,8.1,Patty Cake
136,222490,F,2.2,9.5,Fulton
137,788308,F,2.0,10.1,Cousine
138,589738,F,2.0,8.9,Chopper Bates
139,915892,F,2.5,9.4,Malichi
140,876247,F,2.4,10.4,Mitzvah
141,199609,F,2.4,9.5,Peewer
142,139054,F,2.2,10.3,Woo Kitty
143,288487,F,2.4,8.3,Ansel
144,791431,F,2.4,9.7,Shogun
145,844474,F,2.3,6.3,Japan
146,842103,F,1.8,7.7,Normajean
147,600461,F,1.8,7.5,Yuppy
148,326773,F,2.2,8.5,Cinnamon Bear
149,669004,F,2.3,9.3,Pouncival
150,279176,F,2.1,8.2,Rama
151,440603,F,2.2,8.4,Picot
152,273143,F,2.6,10.6,Molly McButter
153,525898,F,3.1,12.1,Giant
154,984091,F,2.0,6.5,Bullseye
155,574063,F,2.2,8.4,Minkin
156,207598,F,2.1,9.4,Andre
157,889057,F,2.5,9.6,Medianoche
158,395304,F,2.4,9.3,Tuna-Foot
159,652096,F,2.3,8.7,Shaggy
160,247853,F,2.5,10.2,Tao Jones
161,275289,F,2.8,11.5,Aztec
162,803299,F,2.6,9.9,Burroughs
163,282089,F,2.4,8.4,Tidus
164,499095,F,2.2,5.8,Capo
165,343015,F,2.8,11.1,Belly Girl
166,308483,F,2.0,7.0,Tahiti
167,929555,F,2.2,11.3,Minneapolis
168,438850,F,2.1,8.0,Boa
169,272542,F,2.8,9.5,Folderol
170,497441,F,2.7,9.3,Dobby
171,848301,F,2.4,8.2,Iceberg
172,891686,F,2.2,9.5,Arti
173,518819,F,3.0,10.2,Natalie
174,232562,F,2.7,12.3,Esty
175,154083,F,2.2,9.4,Traveler
176,356982,F,2.1,7.8,The Face
177,741684,F,2.1,7.3,Markiz
178,818037,F,2.7,9.7,Nikko
179,876886,F,2.9,11.1,Clark Gable
180,673000,F,2.1,7.7,Baldur The Fairly Slow
181,891350,F,2.2,5.6,Radcliffe
182,476840,F,2.3,9.7,Galileo
183,629861,F,2.2,7.8,Cihuacoatl
184,513430,F,2.7,9.7,Stuart Little
185,588438,F,2.6,10.2,Christofur
186,267077,F,2.5,9.8,Gilroy
187,246797,F,2.1,10.1,Koobees
188,319943,F,2.5,9.9,Ryder
189,588965,F,2.3,9.7,Winnie Pooh
190,154295,F,2.7,9.9,MiG
191,234796,F,2.5,9.0,Asha
192,726125,F,2.4,9.4,Madie
193,934927,F,2.6,10.1,"Tigger T. Leadbelly (The 'T' stands for ""Trouble)"
194,507278,F,2.2,6.8,Bodeer
195,676855,F,2.5,8.9,Graham Crackers
196,173058,F,2.6,9.9,Nepenthe
197,153293,F,2.3,8.1,Song
198,577784,F,2.7,9.4,Juggysmooch
199,902590,F,2.6,10.0,Linda
200,899239,F,2.4,9.8,Chico
201,621431,F,2.6,10.9,Addy-Tood
202,675404,F,2.6,11.8,Jigga
203,381553,F,1.8,8.0,Trigger
204,866081,F,2.0,9.7,Onion
205,842537,F,2.2,7.5,Catsby
